filename,image_url,listing_url,rent,area_m2,layout,location
00079.jpg,https://img01.suumo.com/front/gazo/fr/bukken/759/100440764759/100440764759_co.jpg,https://suumo.jp/chintai/jnc_000098331413/?bc=100440764759,13.9万円,67.53m2,3LDK,東京都中野区上鷺宮２
00080.jpg,https://img01.suumo.com/front/gazo/fr/bukken/308/100441140308/100441140308_co.jpg,https://suumo.jp/chintai/jnc_000099035609/?bc=100441140308,11万円,42.25m2,1LDK,東京都江戸川区東瑞江３
00081.jpg,https://img01.suumo.com/front/gazo/fr/bukken/353/100378719353/100378719353_co.jpg,https://suumo.jp/chintai/jnc_000090302506/?bc=100378719353,80万円,243.51m2,4SLDK,東京都中野区南台２
00082.jpg,https://img01.suumo.com/front/gazo/fr/bukken/670/100406631670/100406631670_co.jpg,https://suumo.jp/chintai/jnc_000089416472/?bc=100406631670,80万円,243.5m2,4SLDK,東京都中野区南台２
00083.jpg,https://img01.suumo.com/front/gazo/fr/bukken/363/100440547363/100440547363_co.jpg,https://suumo.jp/chintai/jnc_000098977953/?bc=100440547363,80万円,243.51m2,4LDK,東京都中野区南台２
00084.jpg,https://img01.suumo.com/front/gazo/fr/bukken/149/100440978149/100440978149_co.jpg,https://suumo.jp/chintai/jnc_000099014240/?bc=100440978149,8万円,21.38m2,1K,東京都葛飾区亀有３
00085.jpg,https://img01.suumo.com/front/gazo/fr/bukken/116/100432948116/100432948116_co.jpg,https://suumo.jp/chintai/jnc_000097932134/?bc=100432948116,10.1万円,21.96m2,1K,東京都葛飾区亀有３
00086.jpg,https://img01.suumo.com/front/gazo/fr/bukken/281/100430530281/100430530281_co.jpg,https://suumo.jp/chintai/jnc_000097682288/?bc=100430530281,10.1万円,21.38m2,1K,東京都葛飾区亀有３
00087.jpg,https://img01.suumo.com/front/gazo/fr/bukken/449/100431368449/100431368449_co.jpg,https://suumo.jp/chintai/jnc_000097749856/?bc=100431368449,10.2万円,21.38m2,1K,東京都葛飾区亀有３
00088.jpg,https://img01.suumo.com/front/gazo/fr/bukken/939/100441033939/100441033939_co.jpg,https://suumo.jp/chintai/jnc_000099029656/?bc=100441033939,10.3万円,37.2m2,1DK,東京都足立区綾瀬３
00089.jpg,https://img01.suumo.com/front/gazo/fr/bukken/013/100440775013/100440775013_co.jpg,https://suumo.jp/chintai/jnc_000098984889/?bc=100440775013,15.2万円,65.17m2,3LDK,東京都練馬区上石神井南町
00090.jpg,https://img01.suumo.com/front/gazo/fr/bukken/564/100433355564/100433355564_co.jpg,https://suumo.jp/chintai/jnc_000098392718/?bc=100433355564,11.3万円,34.58m2,1LDK,東京都中野区沼袋４
00091.jpg,https://img01.suumo.com/front/gazo/fr/bukken/542/100406990542/100406990542_co.jpg,https://suumo.jp/chintai/jnc_000099035578/?bc=100406990542,10.7万円,40.28m2,1LDK,東京都葛飾区白鳥４
00092.jpg,https://img01.suumo.com/front/gazo/fr/bukken/336/100438938336/100438938336_co.jpg,https://suumo.jp/chintai/jnc_000098153018/?bc=100438938336,16万円,68.1m2,3LDK,東京都足立区興野２
00093.jpg,https://img01.suumo.com/front/gazo/fr/bukken/345/100440917345/100440917345_co.jpg,https://suumo.jp/chintai/jnc_000098974079/?bc=100440917345,8.9万円,33.5m2,1LDK,東京都江戸川区平井６
00094.jpg,https://img01.suumo.com/front/gazo/fr/bukken/342/100441088342/100441088342_co.jpg,https://suumo.jp/chintai/jnc_000099029548/?bc=100441088342,9.5万円,38.96m2,2DK,東京都荒川区荒川３
00095.jpg,https://img01.suumo.com/front/gazo/fr/bukken/750/100436779750/100436779750_co.jpg,https://suumo.jp/chintai/jnc_000032627948/?bc=100436779750,12.5万円,32.59m2,1LDK,東京都豊島区上池袋２
00096.jpg,https://img01.suumo.com/front/gazo/fr/bukken/775/100440412775/100440412775_co.jpg,https://suumo.jp/chintai/jnc_000098842142/?bc=100440412775,17.84万円,51.87m2,2LDK,東京都豊島区上池袋２
00097.jpg,https://img01.suumo.com/front/gazo/fr/bukken/782/100440977782/100440977782_co.jpg,https://suumo.jp/chintai/jnc_000098955204/?bc=100440977782,6.2万円,18.02m2,1K,東京都葛飾区堀切５
00098.jpg,https://img01.suumo.com/front/gazo/fr/bukken/669/100440773669/100440773669_co.jpg,https://suumo.jp/chintai/jnc_000098984420/?bc=100440773669,12万円,33.8m2,1LDK,東京都中野区江原町３
00099.jpg,https://img01.suumo.com/front/gazo/fr/bukken/313/100440779313/100440779313_co.jpg,https://suumo.jp/chintai/jnc_000098942798/?bc=100440779313,9.9万円,41.22m2,1LDK,東京都足立区足立４
